image_path,coordinate_path,simulated,source,num_spots
image/deepspot_91.tif,csv/deepspot_91.csv,True,deepspot,241
image/deepspot_48.tif,csv/deepspot_48.csv,True,deepspot,241
image/deepspot_131.tif,csv/deepspot_131.csv,True,deepspot,241
image/deepspot_387.tif,csv/deepspot_387.csv,True,deepspot,135
image/deepspot_447.tif,csv/deepspot_447.csv,True,deepspot,135
image/deepspot_67.tif,csv/deepspot_67.csv,True,deepspot,241
image/deepspot_450.tif,csv/deepspot_450.csv,True,deepspot,241
image/deepspot_412.tif,csv/deepspot_412.csv,True,deepspot,241
image/deepspot_286.tif,csv/deepspot_286.csv,True,deepspot,135
image/deepspot_417.tif,csv/deepspot_417.csv,True,deepspot,135
image/deepspot_177.tif,csv/deepspot_177.csv,True,deepspot,241
image/deepspot_416.tif,csv/deepspot_416.csv,True,deepspot,135
image/deepspot_283.tif,csv/deepspot_283.csv,True,deepspot,135
image/deepspot_497.tif,csv/deepspot_497.csv,True,deepspot,241
image/deepspot_136.tif,csv/deepspot_136.csv,True,deepspot,241
image/deepspot_409.tif,csv/deepspot_409.csv,True,deepspot,135
image/deepspot_110.tif,csv/deepspot_110.csv,True,deepspot,241
image/deepspot_310.tif,csv/deepspot_310.csv,True,deepspot,135
image/deepspot_478.tif,csv/deepspot_478.csv,True,deepspot,241
image/deepspot_414.tif,csv/deepspot_414.csv,True,deepspot,135
image/deepspot_356.tif,csv/deepspot_356.csv,True,deepspot,135
image/deepspot_1.tif,csv/deepspot_1.csv,True,deepspot,241
image/deepspot_155.tif,csv/deepspot_155.csv,True,deepspot,239
image/deepspot_313.tif,csv/deepspot_313.csv,True,deepspot,135
image/deepspot_124.tif,csv/deepspot_124.csv,True,deepspot,241
image/deepspot_156.tif,csv/deepspot_156.csv,True,deepspot,241
image/deepspot_106.tif,csv/deepspot_106.csv,True,deepspot,241
image/deepspot_452.tif,csv/deepspot_452.csv,True,deepspot,241
image/deepspot_127.tif,csv/deepspot_127.csv,True,deepspot,241
image/deepspot_185.tif,csv/deepspot_185.csv,True,deepspot,241
image/deepspot_294.tif,csv/deepspot_294.csv,True,deepspot,135
image/deepspot_290.tif,csv/deepspot_290.csv,True,deepspot,241
image/deepspot_398.tif,csv/deepspot_398.csv,True,deepspot,135
image/deepspot_395.tif,csv/deepspot_395.csv,True,deepspot,135
image/deepspot_26.tif,csv/deepspot_26.csv,True,deepspot,241
image/deepspot_338.tif,csv/deepspot_338.csv,True,deepspot,135
image/deepspot_163.tif,csv/deepspot_163.csv,True,deepspot,241
image/deepspot_462.tif,csv/deepspot_462.csv,True,deepspot,241
image/deepspot_382.tif,csv/deepspot_382.csv,True,deepspot,135
