image_path,coordinate_path,simulated,source
image/deepblink_349.tif,csv/deepblink_349.csv,False,deepblink
image/RCA_1160.tif,csv/RCA_1160.csv,False,RCA
image/RCA_1019.tif,csv/RCA_1019.csv,False,RCA
image/simfish_423.tif,csv/simfish_423.csv,True,simfish
image/RCA_223.tif,csv/RCA_223.csv,False,RCA
image/deepblink_503.tif,csv/deepblink_503.csv,False,deepblink
image/RCA_632.tif,csv/RCA_632.csv,False,RCA
image/simfish_20.tif,csv/simfish_20.csv,True,simfish
image/simfish_272.tif,csv/simfish_272.csv,True,simfish
image/RCA_1084.tif,csv/RCA_1084.csv,False,RCA
image/deepspot_217.tif,csv/deepspot_217.csv,True,deepspot
image/RCA_1172.tif,csv/RCA_1172.csv,False,RCA
image/RCA_921.tif,csv/RCA_921.csv,False,RCA
image/deepblink_124.tif,csv/deepblink_124.csv,False,deepblink
image/simfish_302.tif,csv/simfish_302.csv,True,simfish
image/RCA_67.tif,csv/RCA_67.csv,False,RCA
image/simfish_400.tif,csv/simfish_400.csv,True,simfish
image/deepblink_586.tif,csv/deepblink_586.csv,False,deepblink
image/RCA_625.tif,csv/RCA_625.csv,False,RCA
image/RCA_732.tif,csv/RCA_732.csv,False,RCA
image/deepspot_461.tif,csv/deepspot_461.csv,True,deepspot
image/deepspot_28.tif,csv/deepspot_28.csv,True,deepspot
image/deepspot_168.tif,csv/deepspot_168.csv,True,deepspot
image/RCA_306.tif,csv/RCA_306.csv,False,RCA
image/deepspot_348.tif,csv/deepspot_348.csv,True,deepspot
image/RCA_1075.tif,csv/RCA_1075.csv,False,RCA
image/deepblink_453.tif,csv/deepblink_453.csv,False,deepblink
image/simfish_485.tif,csv/simfish_485.csv,True,simfish
image/simfish_335.tif,csv/simfish_335.csv,True,simfish
image/deepspot_300.tif,csv/deepspot_300.csv,True,deepspot
image/RCA_1071.tif,csv/RCA_1071.csv,False,RCA
image/RCA_502.tif,csv/RCA_502.csv,False,RCA
image/RCA_568.tif,csv/RCA_568.csv,False,RCA
image/RCA_1180.tif,csv/RCA_1180.csv,False,RCA
image/RCA_580.tif,csv/RCA_580.csv,False,RCA
image/deepblink_335.tif,csv/deepblink_335.csv,False,deepblink
image/deepspot_431.tif,csv/deepspot_431.csv,True,deepspot
image/deepspot_102.tif,csv/deepspot_102.csv,True,deepspot
image/deepblink_373.tif,csv/deepblink_373.csv,False,deepblink
image/deepblink_354.tif,csv/deepblink_354.csv,False,deepblink
image/RCA_858.tif,csv/RCA_858.csv,False,RCA
image/RCA_540.tif,csv/RCA_540.csv,False,RCA
image/RCA_1057.tif,csv/RCA_1057.csv,False,RCA
image/simfish_3.tif,csv/simfish_3.csv,True,simfish
image/RCA_838.tif,csv/RCA_838.csv,False,RCA
image/RCA_500.tif,csv/RCA_500.csv,False,RCA
image/deepspot_417.tif,csv/deepspot_417.csv,True,deepspot
image/deepspot_124.tif,csv/deepspot_124.csv,True,deepspot
image/RCA_148.tif,csv/RCA_148.csv,False,RCA
image/RCA_1162.tif,csv/RCA_1162.csv,False,RCA
image/RCA_59.tif,csv/RCA_59.csv,False,RCA
image/RCA_1153.tif,csv/RCA_1153.csv,False,RCA
image/deepblink_33.tif,csv/deepblink_33.csv,False,deepblink
image/simfish_321.tif,csv/simfish_321.csv,True,simfish
image/simfish_443.tif,csv/simfish_443.csv,True,simfish
image/RCA_1152.tif,csv/RCA_1152.csv,False,RCA
image/deepblink_55.tif,csv/deepblink_55.csv,False,deepblink
image/deepblink_188.tif,csv/deepblink_188.csv,False,deepblink
image/deepblink_200.tif,csv/deepblink_200.csv,False,deepblink
image/simfish_437.tif,csv/simfish_437.csv,True,simfish
image/deepblink_195.tif,csv/deepblink_195.csv,False,deepblink
image/RCA_1131.tif,csv/RCA_1131.csv,False,RCA
image/deepspot_171.tif,csv/deepspot_171.csv,True,deepspot
image/deepspot_354.tif,csv/deepspot_354.csv,True,deepspot
image/simfish_122.tif,csv/simfish_122.csv,True,simfish
image/deepspot_110.tif,csv/deepspot_110.csv,True,deepspot
image/deepspot_372.tif,csv/deepspot_372.csv,True,deepspot
image/RCA_4.tif,csv/RCA_4.csv,False,RCA
image/deepblink_377.tif,csv/deepblink_377.csv,False,deepblink
image/deepblink_468.tif,csv/deepblink_468.csv,False,deepblink
image/simfish_402.tif,csv/simfish_402.csv,True,simfish
image/simfish_230.tif,csv/simfish_230.csv,True,simfish
image/deepspot_65.tif,csv/deepspot_65.csv,True,deepspot
image/simfish_353.tif,csv/simfish_353.csv,True,simfish
image/deepblink_92.tif,csv/deepblink_92.csv,False,deepblink
image/deepblink_105.tif,csv/deepblink_105.csv,False,deepblink
image/RCA_238.tif,csv/RCA_238.csv,False,RCA
image/deepblink_238.tif,csv/deepblink_238.csv,False,deepblink
image/RCA_642.tif,csv/RCA_642.csv,False,RCA
image/deepblink_511.tif,csv/deepblink_511.csv,False,deepblink
image/deepblink_491.tif,csv/deepblink_491.csv,False,deepblink
image/simfish_323.tif,csv/simfish_323.csv,True,simfish
image/deepblink_75.tif,csv/deepblink_75.csv,False,deepblink
image/RCA_384.tif,csv/RCA_384.csv,False,RCA
image/simfish_450.tif,csv/simfish_450.csv,True,simfish
image/deepblink_242.tif,csv/deepblink_242.csv,False,deepblink
image/deepspot_346.tif,csv/deepspot_346.csv,True,deepspot
image/deepblink_407.tif,csv/deepblink_407.csv,False,deepblink
image/deepspot_48.tif,csv/deepspot_48.csv,True,deepspot
image/RCA_1052.tif,csv/RCA_1052.csv,False,RCA
image/RCA_910.tif,csv/RCA_910.csv,False,RCA
image/simfish_421.tif,csv/simfish_421.csv,True,simfish
image/simfish_245.tif,csv/simfish_245.csv,True,simfish
image/simfish_223.tif,csv/simfish_223.csv,True,simfish
image/RCA_1076.tif,csv/RCA_1076.csv,False,RCA
image/RCA_860.tif,csv/RCA_860.csv,False,RCA
image/RCA_60.tif,csv/RCA_60.csv,False,RCA
image/RCA_766.tif,csv/RCA_766.csv,False,RCA
image/deepblink_358.tif,csv/deepblink_358.csv,False,deepblink
image/simfish_146.tif,csv/simfish_146.csv,True,simfish
image/simfish_292.tif,csv/simfish_292.csv,True,simfish
image/simfish_405.tif,csv/simfish_405.csv,True,simfish
image/simfish_75.tif,csv/simfish_75.csv,True,simfish
image/deepblink_158.tif,csv/deepblink_158.csv,False,deepblink
image/deepspot_145.tif,csv/deepspot_145.csv,True,deepspot
image/simfish_491.tif,csv/simfish_491.csv,True,simfish
image/RCA_1223.tif,csv/RCA_1223.csv,False,RCA
image/simfish_237.tif,csv/simfish_237.csv,True,simfish
image/deepblink_58.tif,csv/deepblink_58.csv,False,deepblink
image/RCA_678.tif,csv/RCA_678.csv,False,RCA
image/RCA_467.tif,csv/RCA_467.csv,False,RCA
image/RCA_920.tif,csv/RCA_920.csv,False,RCA
image/RCA_802.tif,csv/RCA_802.csv,False,RCA
image/deepblink_252.tif,csv/deepblink_252.csv,False,deepblink
image/RCA_558.tif,csv/RCA_558.csv,False,RCA
image/deepspot_312.tif,csv/deepspot_312.csv,True,deepspot
image/RCA_374.tif,csv/RCA_374.csv,False,RCA
image/deepspot_490.tif,csv/deepspot_490.csv,True,deepspot
image/RCA_324.tif,csv/RCA_324.csv,False,RCA
image/RCA_853.tif,csv/RCA_853.csv,False,RCA
image/simfish_197.tif,csv/simfish_197.csv,True,simfish
image/deepblink_362.tif,csv/deepblink_362.csv,False,deepblink
image/deepblink_643.tif,csv/deepblink_643.csv,False,deepblink
image/simfish_72.tif,csv/simfish_72.csv,True,simfish
image/RCA_212.tif,csv/RCA_212.csv,False,RCA
image/simfish_158.tif,csv/simfish_158.csv,True,simfish
image/deepspot_365.tif,csv/deepspot_365.csv,True,deepspot
image/RCA_510.tif,csv/RCA_510.csv,False,RCA
image/deepblink_359.tif,csv/deepblink_359.csv,False,deepblink
image/RCA_1189.tif,csv/RCA_1189.csv,False,RCA
image/simfish_208.tif,csv/simfish_208.csv,True,simfish
image/RCA_680.tif,csv/RCA_680.csv,False,RCA
image/RCA_288.tif,csv/RCA_288.csv,False,RCA
image/deepspot_284.tif,csv/deepspot_284.csv,True,deepspot
image/RCA_316.tif,csv/RCA_316.csv,False,RCA
image/deepblink_395.tif,csv/deepblink_395.csv,False,deepblink
image/simfish_490.tif,csv/simfish_490.csv,True,simfish
image/RCA_476.tif,csv/RCA_476.csv,False,RCA
image/RCA_531.tif,csv/RCA_531.csv,False,RCA
image/RCA_88.tif,csv/RCA_88.csv,False,RCA
image/deepblink_138.tif,csv/deepblink_138.csv,False,deepblink
image/simfish_229.tif,csv/simfish_229.csv,True,simfish
image/RCA_1028.tif,csv/RCA_1028.csv,False,RCA
image/RCA_716.tif,csv/RCA_716.csv,False,RCA
image/deepspot_249.tif,csv/deepspot_249.csv,True,deepspot
image/deepspot_299.tif,csv/deepspot_299.csv,True,deepspot
image/RCA_375.tif,csv/RCA_375.csv,False,RCA
image/simfish_456.tif,csv/simfish_456.csv,True,simfish
image/RCA_110.tif,csv/RCA_110.csv,False,RCA
image/deepblink_270.tif,csv/deepblink_270.csv,False,deepblink
image/RCA_305.tif,csv/RCA_305.csv,False,RCA
image/deepblink_23.tif,csv/deepblink_23.csv,False,deepblink
image/RCA_971.tif,csv/RCA_971.csv,False,RCA
image/deepblink_482.tif,csv/deepblink_482.csv,False,deepblink
image/deepblink_315.tif,csv/deepblink_315.csv,False,deepblink
image/RCA_1124.tif,csv/RCA_1124.csv,False,RCA
image/RCA_672.tif,csv/RCA_672.csv,False,RCA
image/RCA_706.tif,csv/RCA_706.csv,False,RCA
